Company Name,Stock Code
三菱瓦斯化学,4182.T
三井化学,4183.T
JSR,4185.T
東京応化工業,4186.T
大阪有機化学工業,4187.T
三菱ケミカルグループ,4188.T
KHネオケム,4189.T
ダイセル,4202.T
住友ベークライト,4203.T
積水化学工業,4204.T
日本ゼオン,4205.T
アイカ工業,4206.T
UBE,4208.T
積水樹脂,4212.T
タキロンシーアイ,4215.T
旭有機材,4216.T
ニチバン,4218.T
リケンテクノス,4220.T
大倉工業,4221.T
積水化成品工業,4228.T
群栄化学工業,4229.T
ダイキョーニシカワ,4246.T
森六 HD,4249.T
恵和,4251.T
日本化薬,4272.T
カーリット HD,4275.T
プレステージ・インターナショナル,4290.T
プロトコーポレーション,4298.T
アミューズ,4301.T
野村総合研究所,4307.T
ドリームインキュベータ,4310.T
クイック,4318.T
日本システム技術,4323.T
電通グループ,4324.T
インテージ HD,4326.T
テイクアンドギヴ・ニーズ,4331.T
東邦システムサイエンス,4333.T
ぴあ,4337.T
イオンファンタジー,4343.T
ソースネクスト,4344.T
シーティーエス,4345.T
インフォコム,4348.T
日本精化,4362.T
扶桑化学工業,4368.T
トリケミカル研究所,4369.T
シンプレクスHD,4373.T
ラクスル,4384.T
メルカリ,4385.T
アイ・ピー・エス,4390.T
FIG,4392.T
システムサポート,4396.T
ADEKA,4401.T
日油,4403.T
ハリマ化成グループ,4410.T
アルテリア・ネットワークス,4423.T
ウイングアーク1st,4432.T
ヒト・コミュニケーションズHD,4433.T
Sansan,4443.T
Link-U,4446.T
ギフティ,4449.T
花王,4452.T
第一工業製薬,4461.T
石原ケミカル,4462.T
三洋化成工業,4471.T
メドレー,4480.T
ベース,4481.T
JMDC,4483.T
武田薬品工業,4502.T
アステラス製薬,4503.T
住友ファーマ,4506.T
塩野義製薬,4507.T
日本新薬,4516.T
中外製薬,4519.T
科研製薬,4521.T
エーザイ,4523.T
理研ビタミン,4526.T
ロート製薬,4527.T
小野薬品工業,4528.T
久光製薬,4530.T
持田製薬,4534.T
参天製薬,4536.T
扶桑薬品工業,4538.T
ツムラ,4540.T
日医工,4541.T
テルモ,4543.T
H.U.グループ HD,4544.T
キッセイ薬品工業,4547.T
生化学工業,4548.T
栄研化学,4549.T
日水製薬,4550.T
鳥居薬品,4551.T
JCRファーマ,4552.T
東和薬品,4553.T
富士製薬工業,4554.T
ゼリア新薬工業,4559.T
そーせいグループ,4565.T
第一三共,4568.T
杏林製薬,4569.T
大幸薬品,4574.T
ダイト,4577.T
大塚 HD,4578.T
ペプチドリーム,4587.T
大日本塗料,4611.T
日本ペイント HD,4612.T
関西ペイント,4613.T
中国塗料,4617.T
太陽 HD,4626.T
DIC,4631.T
サカタインクス,4633.T
東洋インキSC HD,4634.T
T&K TOKA,4636.T
アルプス技研,4641.T
ダイオーズ,4653.T
日本空調サービス,4658.T
オリエンタルランド,4661.T
フォーカスシステムズ,4662.T
ダスキン,4665.T
パーク二四(パーク24),4666.T
明光ネットワークジャパン,4668.T
クレスコ,4674.T
フジ・メディアHD,4676.T
ラウンドワン,4680.T
リゾートトラスト,4681.T
オービック,4684.T
ジャストシステム,4686.T
TDCソフト,4687.T
LINEヤフー,4689.T
ビー・エム・エル,4694.T
トレンドマイクロ,4704.T
りらいあコミュニケーションズ,4708.T
ID HD,4709.T
リソー教育,4714.T
早稲田アカデミー,4718.T
アルファシステムズ,4719.T
フューチャー,4722.T
CAC HD,4725.T
SBテクノロジー,4726.T
ユー・エス・エス,4732.T
オービックビジネスコンサルタント,4733.T
伊藤忠テクノソリューションズ,4739.T
アイティフォー,4743.T
サイバーエージェント,4751.T
楽天グループ,4755.T
クリーク・アンド・リバー社,4763.T
SBIグローバルアセットマネジメント,4765.T
大塚商会,4768.T
サイボウズ,4776.T
山田コンサルティンググループ,4792.T
セントラルスポーツ,4801.T
パラカ,4809.T
電通国際情報サービス,4812.T
ACCESS,4813.T
デジタルガレージ,4819.T
イーエムシステムズ(商号EMシステムズ),4820.T
ウェザーニューズ,4825.T
CIJ,4826.T
ビジネスエンジニアリング,4828.T
WOWOW,4839.T
スカラ,4845.T
インテリジェントウェイブ,4847.T
フルキャスト HD,4848.T
エン・ジャパン,4849.T
セルソース,4880.T
あすか製薬 HD,4886.T
サワイグループ HD,4887.T
富士フイルム HD,4901.T
コニカミノルタ,4902.T
資生堂,4911.T
ライオン,4912.T
高砂香料工業,4914.T
マンダム,4917.T
ミルボン,4919.T
ファンケル,4921.T
コーセー,4922.T
コタ,4923.T
ポーラ・オルビス HD,4927.T
ノエビア HD,4928.T
新日本製薬,4931.T
I-ne,4933.T
アクシージア,4936.T
エステー,4951.T
コニシ,4956.T
長谷川香料,4958.T
星光PMC,4963.T
小林製薬,4967.T
荒川化学工業,4968.T
メック,4971.T
日本高純度化学,4973.T
タカラバイオ,4974.T
JCU,4975.T
デクセリアルズ,4980.T
アース製薬,4985.T
クミアイ化学工業,4996.T
日本農薬,4997.T
ニチレキ,5011.T
富士石油,5017.T
出光興産,5019.T
ENEOS HD,5020.T
コスモエネルギー HD,5021.T
ANYCOLOR,5032.T
テス HD,5074.T
インフロニアHD,5076.T
横浜ゴム,5101.T
TOYO TIRE,5105.T
ブリヂストン,5108.T
住友ゴム工業,5110.T
藤倉コンポジット,5121.T
オカモト,5122.T
WOW WORLD GROUP,5128.T
アキレス,5142.T
フコク,5185.T
ニッタ,5186.T
住友理工,5191.T
三ツ星ベルト,5192.T
バンドー化学,5195.T
AGC,5201.T
日本板硝子,5202.T
有沢製作所,5208.T
日本電気硝子,5214.T
住友大阪セメント,5232.T
太平洋セメント,5233.T
リソル HD,5261.T
日本ヒューム,5262.T
日本コンクリート工業,5269.T
アジアパイル HD,5288.T
東海カーボン,5301.T
日本カーボン,5302.T
東洋炭素,5310.T
ノリタケカンパニーリミテド,5331.T
TOTO,5332.T
日本碍子,5333.T
日本特殊陶業,5334.T
MARUWA,5344.T
品川リフラクトリーズ,5351.T
黒崎播磨,5352.T
ヨータイ,5357.T
フジミインコーポレーテッド,5384.T
ニチアス,5393.T
日本製鉄,5401.T
神戸製鋼所,5406.T
中山製鋼所,5408.T
合同製鐵,5410.T
JFE HD,5411.T
東京製鐵,5423.T
共英製鋼,5440.T
大和工業,5444.T
東京鐵鋼,5445.T
淀川製鋼所,5451.T
中部鋼鈑,5461.T
丸一鋼管,5463.T
大同特殊鋼,5471.T
日本冶金工業,5480.T
山陽特殊製鋼,5481.T
愛知製鋼,5482.T
プロテリアル,5486.T
ミガロ HD,5535.T
大平洋金属,5541.T
新日本電工,5563.T
栗本鐵工所,5602.T
日本製鋼所,5631.T
三菱製鋼,5632.T
日本精線,5659.T
エンビプロHD,5698.T
大紀アルミニウム工業所,5702.T
日本軽金属 HD,5703.T
三井金属鉱業,5706.T
東邦亜鉛,5707.T
三菱マテリアル,5711.T
住友金属鉱山,5713.T
DOWA HD,5714.T
古河機械金属,5715.T
大阪チタニウムテクノロジーズ,5726.T
東邦チタニウム,5727.T
UACJ,5741.T
CKサンエツ,5757.T
古河電気工業,5801.T
住友電気工業,5802.T
フジクラ,5803.T
SWCC,5805.T
タツタ電線,5809.T
平河ヒューテック,5821.T
いよぎん HD,5830.T
しずおか FG,5831.T
ちゅうぎん FG,5832.T
楽天銀行,5838.T
京都 FG,5844.T
リョービ,5851.T
アーレスティ,5852.T
ARE HD,5857.T
東洋製罐グループ HD,5901.T
ホッカン HD,5902.T
横河ブリッジ HD,5911.T
駒井ハルテック,5915.T
三和 HD,5929.T
文化シヤッター,5930.T
三協立山,5932.T
アルインコ,5933.T
LIXIL,5938.T
ノーリツ,5943.T
長府製作所,5946.T
リンナイ,5947.T
ユニプレス,5949.T
日東精工,5957.T
岡部,5959.T
ジーテクト,5970.T
東プレ,5975.T
高周波熱錬,5976.T
東京製綱,5981.T
パイオラックス,5988.T
エイチワン,5989.T
日本発條,5991.T
三浦工業,6005.T
タクマ,6013.T
テクノプロHD,6028.T
アイ・アールジャパン HD,6035.T
KeePer技研,6036.T
Gunosy,6047.T
イー・ガーディアン,6050.T
リブセンス,6054.T
ジャパンマテリアル,6055.T
ベクトル,6058.T
チャーム・ケア・コーポレーション,6062.T
キャリアリンク,6070.T
IBJ,6071.T
アサンテ,6073.T
バリューHR,6078.T
M&Aキャピタルパートナーズ,6080.T
ライドオンエクスプレス HD,6082.T
アビスト,6087.T
シグマクシスHD,6088.T
ウィルグループ,6089.T
エスクロー・エージェント・ジャパン,6093.T
メドピア,6095.T
レアジョブ,6096.T
リクルート HD,6098.T
エラン,6099.T
ツガミ,6101.T
オークマ,6103.T
芝浦機械,6104.T
アマダ,6113.T
アイダエンジニアリング,6118.T
FUJI,6134.T
牧野フライス製作所,6135.T
オーエスジー,6136.T
旭ダイヤモンド工業,6140.T
DMG森精機,6141.T
ソディック,6143.T
ディスコ,6146.T
日東工器,6151.T
日進工具,6157.T
パンチ工業,6165.T
冨士ダイス,6167.T
土木管理総合試験所,6171.T
日本郵政,6178.T
ベルシステム24 HD,6183.T
鎌倉新書,6184.T
SMN,6185.T
グローバルキッズCOMPANY,6189.T
エアトリ,6191.T
アトラエ,6194.T
ストライク,6196.T
ソラスト,6197.T
セラク,6199.T
インソース,6200.T
豊田自動織機,6201.T
豊和工業,6203.T
リケンNPR,6209.T
東洋機械金属,6210.T
エンシュウ,6218.T
島精機製作所,6222.T
オプトラン,6235.T
イワキ,6237.T
フリュー,6238.T
ヤマシンフィルタ,6240.T
日阪製作所,6247.T
やまびこ,6250.T
野村マイクロ・サイエンス,6254.T
平田機工,6258.T
PEGASUS,6262.T
マルマエ,6264.T
タツモ,6266.T
ナブテスコ,6268.T
三井海洋開発,6269.T
レオン自動機,6272.T
SMC,6273.T
ホソカワミクロン,6277.T
ユニオンツール,6278.T
瑞光,6279.T
オイレス工業,6282.T
日精エー・エス・ビー機械,6284.T
サトー HD,6287.T
技研製作所,6289.T
日本エアーテック,6291.T
日精樹脂工業,6293.T
オカダアイヨン,6294.T
ワイエイシイ HD,6298.T
小松製作所,6301.T
住友重機械工業,6302.T
日立建機,6305.T
日工,6306.T
巴工業,6309.T
井関農機,6310.T
TOWA,6315.T
北川鉄工所,6317.T
ローツェ,6323.T
クボタ,6326.T
荏原実業,6328.T
東洋エンジニアリング,6330.T
三菱化工機,6331.T
月島 HD,6332.T
帝国電機製作所,6333.T
新東工業,6339.T
澁谷工業,6340.T
アイチコーポレーション,6345.T
小森コーポレーション,6349.T
鶴見製作所,6351.T
酒井重工業,6358.T
荏原製作所,6361.T
酉島製作所,6363.T
北越工業,6364.T
ダイキン工業,6367.T
オルガノ,6368.T
トーヨーカネツ,6369.T
栗田工業,6370.T
椿本チエイン,6371.T
日機装,6376.T
レイズネクスト,6379.T
アネスト岩田,6381.T
ダイフク,6383.T
サムコ,6387.T
加藤製作所,6390.T
タダノ,6395.T
フジテック,6406.T
CKD,6407.T
キトー,6409.T
平和,6412.T
理想科学工業,6413.T
三共,6417.T
日本金銭機械,6418.T
マースグループ HD,6419.T
フクシマガリレイ,6420.T
オーイズミ,6428.T
ダイコク電機,6430.T
竹内製作所,6432.T
アマノ,6436.T
JUKI,6440.T
サンデン,6444.T
ジャノメ,6445.T
ブラザー工業,6448.T
マックス,6454.T
モリタ HD,6455.T
グローリー,6457.T
新晃工業,6458.T
大和冷機工業,6459.T
セガサミー HD,6460.T
日本ピストンリング,6461.T
リケン,6462.T
TPR,6463.T
ツバキ・ナカシマ,6464.T
ホシザキ,6465.T
大豊工業,6470.T
日本精工,6471.T
NTN,6472.T
ジェイテクト,6473.T
不二越,6474.T
ミネベアミツミ,6479.T
日本トムソン,6480.T
THK,6481.T
ユーシン精機,6482.T
前澤給装工業,6485.T
イーグル工業,6486.T
日本ピラー工業,6490.T
キッツ,6498.T
日立製作所,6501.T
東芝,6502.T
三菱電機,6503.T
富士電機,6504.T
安川電機,6506.T
シンフォニアテクノロジー,6507.T
明電舎,6508.T
山洋電気,6516.T
デンヨー,6517.T
PHC HD,6523.T
KOKUSAI ELECTRIC,6525.T
ソシオネクスト,6526.T
ベイカレント・コンサルティング,6532.T
Orchestra HD,6533.T
アイモバイル,6535.T
キャリアインデックス,6538.T
MS-Japan,6539.T
ジャパンエレベーターサービス HD,6544.T
ソウルドアウト,6553.T
ウェルビー,6556.T
エル・ティー・エス,6560.T
ミダック HD,6564.T
日総工産,6569.T
キュービーネット HD,6571.T
RPA HD,6572.T
三櫻工業,6584.T
マキタ,6586.T
東芝テック,6588.T
芝浦メカトロニクス,6590.T
マブチモーター,6592.T
ニデック,6594.T
ユー・エム・シー・エレクトロニクス,6615.T
トレックス・セミコンダクター,6616.T
東光高岳,6617.T
ダブル・スコープ,6619.T
宮越 HD,6620.T
ダイヘン,6622.T
ヤーマン,6630.T
JVCケンウッド,6632.T
ミマキエンジニアリング,6638.T
I-PEX,6640.T
日新電機,6641.T
大崎電気工業,6644.T
オムロン,6645.T
日東工業,6651.T
IDEC,6652.T
正興電機製作所,6653.T
ジーエス・ユアサコーポレーション,6674.T
サクサ HD,6675.T
メルコ HD,6676.T
テクノメディカ,6678.T
ダイヤモンドエレクトリック HD,6699.T
日本電気,6701.T
富士通,6702.T
沖電気工業,6703.T
岩崎通信機,6704.T
電気興業,6706.T
サンケン電気,6707.T
アイホン,6718.T
ルネサスエレクトロニクス,6723.T
セイコーエプソン,6724.T
ワコム,6727.T
アルバック,6728.T
EIZO,6737.T
ジャパンディスプレイ,6740.T
日本信号,6741.T
京三製作所,6742.T
能美防災,6744.T
ホーチキ,6745.T
エレコム,6750.T
パナソニック HD,6752.T
シャープ,6753.T
アンリツ,6754.T
富士通ゼネラル,6755.T
ソニーグループ,6758.T
TDK,6762.T
帝国通信工業,6763.T
タムラ製作所,6768.T
アルプスアルパイン,6770.T
日本電波工業,6779.T
鈴木,6785.T
メイコー,6787.T
日本トリム,6788.T
ローランドディー.ジー.,6789.T
フォスター電機,6794.T
SMK,6798.T
ヨコオ,6800.T
ホシデン,6804.T
ヒロセ電機,6806.T
日本航空電子工業,6807.T
TOA,6809.T
マクセル,6810.T
古野電気,6814.T
ユニデン HD,6815.T
スミダコーポレーション,6817.T
アイコム,6820.T
リオン,6823.T
本多通信工業,6826.T
横河電機,6841.T
新電元工業,6844.T
アズビル,6845.T
日本光電工業,6849.T
チノー,6850.T
共和電業,6853.T
堀場製作所,6856.T
アドバンテスト,6857.T
エスペック,6859.T
キーエンス,6861.T
日置電機,6866.T
シスメックス,6869.T
日本マイクロニクス,6871.T
メガチップス,6875.T
IMAGICA GROUP,6879.T
デンソー,6902.T
原田工業,6904.T
コーセル,6905.T
イリソ電子工業,6908.T
オプテックスグループ,6914.T
